Straftat;Kanton;Ausführungsgrad;Aufklärungsgrad;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Angriffe auf die verfassungsmässige Ordnung (Art. 275);Appenzell Innerrhoden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);Appenzell Innerrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);Appenzell Innerrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);St. Gallen;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);St. Gallen;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);St. Gallen;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);St. Gallen;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);Graubünden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);Graubünden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);Graubünden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);Graubünden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);Thurgau;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);Thurgau;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);Thurgau;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);Thurgau;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anwerbung, Ausbildung und Reisen im Hinblick auf eine terroristische Straftat (Art. 260sexies);Zürich;Vollendet;Unaufgeklärt;*;*;*;*;*;*;*;*;*;*;*;*;0;0
Anwerbung, Ausbildung und Reisen im Hinblick auf eine terroristische Straftat (Art. 260sexies);Zürich;Vollendet;Aufgeklärt;*;*;*;*;*;*;*;*;*;*;*;*;0;0
Anwerbung, Ausbildung und Reisen im Hinblick auf eine terroristische Straftat (Art. 260sexies);Zürich;Versucht;Unaufgeklärt;*;*;*;*;*;*;*;*;*;*;*;*;0;0
Anwerbung, Ausbildung und Reisen im Hinblick auf eine terroristische Straftat (Art. 260sexies);Zürich;Versucht;Aufgeklärt;*;*;*;*;*;*;*;*;*;*;*;*;0;0
Anwerbung, Ausbildung und Reisen im Hinblick auf eine terroristische Straftat (Art. 260sexies);Appenzell Ausserrhoden;Vollendet;Unaufgeklärt;*;*;*;*;*;*;*;*;*;*;*;*;0;0
Anwerbung, Ausbildung und Reisen im Hinblick auf eine terroristische Straftat (Art. 260sexies);Appenzell Ausserrhoden;Vollendet;Aufgeklärt;*;*;*;*;*;*;*;*;*;*;*;*;0;0
Anwerbung, Ausbildung und Reisen im Hinblick auf eine terroristische Straftat (Art. 260sexies);Appenzell Ausserrhoden;Versucht;Unaufgeklärt;*;*;*;*;*;*;*;*;*;*;*;*;0;0
Anwerbung, Ausbildung und Reisen im Hinblick auf eine terroristische Straftat (Art. 260sexies);Appenzell Ausserrhoden;Versucht;Aufgeklärt;*;*;*;*;*;*;*;*;*;*;*;*;0;0
